agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,colocated,queryTime,state
USGS,332624088152701,Well NAWQA FLH 10 Pickens County Al,GW,33.4401111,-88.2575278,FALSE,2019-10-28T19:26:56Z,AL
USGS,335332088074901,Well NAWQA FLH 8 Lamar County Al,GW,33.8923333,-88.1303056,FALSE,2019-10-28T19:26:56Z,AL
USGS,334537088062301,VERNON WELL 3 (NAWQA FLH-9-1),GW,33.76027778,-88.10888889,FALSE,2019-10-28T19:26:56Z,AL
USGS,333353088043201,NAWQA FLH-15-1,GW,33.5647222,-88.0755556,FALSE,2019-10-28T19:26:56Z,AL
USGS,323001088021601,Well  Y 1  323001088021601 Sumter County Al,GW,32.5004153,-88.0375194,FALSE,2019-10-28T19:26:56Z,AL
USGS,332417087581901,Well NAWQA FLH 14 Pickens County Al,GW,33.4048333,-87.9719722,FALSE,2019-10-28T19:26:56Z,AL
USGS,330632087575201,Well NAWQA FLH 13 Pickens County Al,GW,33.109,-87.9644722,FALSE,2019-10-28T19:26:56Z,AL
USGS,325201087550701,Well NAWQA FLH 12 Greene County Al,GW,32.86680556,-87.91863889,FALSE,2019-10-28T19:26:56Z,AL
USGS,335226087533701,Well NAWQA FLH 16 Fayette County Al,GW,33.874,-87.89363889,FALSE,2019-10-28T19:26:56Z,AL
USGS,302416087505501,Well ww 13 302416087505501 Baldwin Cnty AL,GW,30.40477778,-87.8483611,FALSE,2019-10-28T19:26:56Z,AL
USGS,303406087501401,Well Ag & Industries 6 - Replacement Baldwin Cnty,GW,30.56845833,-87.8371306,FALSE,2019-10-28T19:26:56Z,AL
USGS,332630087430001,Well NAWQA FLH 17 Tuscaloosa County Al,GW,33.4426111,-87.7147222,FALSE,2019-10-28T19:26:56Z,AL
USGS,325349087405901,NAWQA FLH-20-1,GW,32.89694444,-87.6830111,FALSE,2019-10-28T19:26:56Z,AL
USGS,331032087404701,Well NAWQA LUSCR1-29 Tuscaloosa Cnty AL,GW,33.17569444,-87.6798056,FALSE,2019-10-28T19:26:56Z,AL
USGS,330655087392401,Well NAWQA LUSCR1-26 Tuscaloosa Cnty AL,GW,33.1154722,-87.6565278,FALSE,2019-10-28T19:26:56Z,AL
USGS,302120087374201,Well  ZZ-32 Baldwin County Al,GW,30.35555556,-87.6283333,FALSE,2019-10-28T19:26:56Z,AL
USGS,330603087371401,Well NAWQA LUSCR1-16 Tuscaloosa Cnty AL,GW,33.10088889,-87.62063889,FALSE,2019-10-28T19:26:56Z,AL
USGS,330905087363801,Well NAWQA LUSCR1-19 Tuscaloosa Cnty AL,GW,33.15141667,-87.6105,FALSE,2019-10-28T19:26:56Z,AL
USGS,325726087355201,Well NAWQA FLH 19-1 Hale County Al,GW,32.95762498,-87.5952844,FALSE,2019-10-28T19:26:56Z,AL
USGS,324340087350501,Well NAWQA FLH 21 Hale County Al,GW,32.72791667,-87.5847222,FALSE,2019-10-28T19:26:56Z,AL
USGS,322405087342601,Well I 66 Dayton Well Near Linden Al,GW,32.4014722,-87.5738333,FALSE,2019-10-28T19:26:56Z,AL
USGS,330712087334701,Well NAWQA FLH 18 Tuscaloosa County Al,GW,33.1201111,-87.5630556,FALSE,2019-10-28T19:26:56Z,AL
USGS,333204087324601,Well (TW5 DRY BRANCH WELL) Tuscaloosa Cnty AL,GW,33.53455757,-87.5461171,FALSE,2019-10-28T19:26:56Z,AL
USGS,342718087285601,Well LAW 3 342718087285601 Lawrence Cnty AL,GW,34.45509537,-87.4822464,FALSE,2019-10-28T19:26:56Z,AL
USGS,310338087101502,Well McCall Well 1 Escambia Cnty AL,GW,31.06079167,-87.1708333,FALSE,2019-10-28T19:26:56Z,AL
USGS,335929087021001,Well CULLMAN CO. WELL NEAR COLD SPRINGS  Al,GW,33.991491859999996,-87.0361154,FALSE,2019-10-28T19:26:56Z,AL
USGS,323134086584501,NAWQA FLH-22-1,GW,32.5261111,-86.9791667,FALSE,2019-10-28T19:26:56Z,AL
USGS,324453086505001,NAWQA FLH-29-1,GW,32.74788056,-86.8473944,FALSE,2019-10-28T19:26:56Z,AL
USGS,325740086432401,Well  F 10  325740086432401 Chilton County Al,GW,32.96123397,-86.7233183,FALSE,2019-10-28T19:26:56Z,AL
USGS,325159086423801,Well NAWQA FLH 30 Chilton County Al,GW,32.8665,-86.7105278,FALSE,2019-10-28T19:26:56Z,AL
USGS,322616086365601,Well NAWQA LUSCR1-31 Autauga Cnty AL,GW,32.438,-86.6155,FALSE,2019-10-28T19:26:56Z,AL
USGS,323908086360201,Well NAWQA FLH 28 Autauga County Al,GW,32.6518611,-86.6006944,FALSE,2019-10-28T19:26:56Z,AL
USGS,340618086344001,Well BLOUNTSVILLE WELL Blount County Al,GW,34.10481935,-86.577769,FALSE,2019-10-28T19:26:56Z,AL
USGS,322101086330301,Well NAWQA LUSCR1-3 Lowndes Cnty AL,GW,32.35038889,-86.55088889,FALSE,2019-10-28T19:26:56Z,AL
USGS,345156086285901,Well EHR-LUS38 Madison Cnty AL,GW,34.86563889,-86.4830278,FALSE,2019-10-28T19:26:56Z,AL
USGS,330636086251101,Well FF 11  330636086251101 Talladega County Al,GW,33.11,-86.4197222,FALSE,2019-10-28T19:26:56Z,AL
USGS,322519086224301,Well NAWQA LUSCR1-30 Montgomery Cnty AL,GW,32.422,-86.3785556,FALSE,2019-10-28T19:26:56Z,AL
USGS,322047086214301,Well   K 107 MTG-3 Montgomery County Al,GW,32.3465278,-86.3619149,FALSE,2019-10-28T19:26:56Z,AL
USGS,323405086214101,Well NAWQA LUSCR1-25 Elmore Cnty AL,GW,32.56827778,-86.36138889,FALSE,2019-10-28T19:26:56Z,AL
USGS,322425086205901,Well NAWQA LUSCR1-27 Montgomery Cnty AL,GW,32.40719444,-86.3497778,FALSE,2019-10-28T19:26:56Z,AL
USGS,322402086203301,Well NAWQA LUSCR1-28 Montgomery Cnty AL,GW,32.40058333,-86.3424167,FALSE,2019-10-28T19:26:56Z,AL
USGS,323457086193001,Well NAWQA LUSCR1-24 Elmore Cnty AL,GW,32.58258333,-86.32488889,FALSE,2019-10-28T19:26:56Z,AL
USGS,323024086182901,Well NAWQA LUSCR1-8 Elmore Cnty AL,GW,32.50680556,-86.3080556,FALSE,2019-10-28T19:26:56Z,AL
USGS,322836086161801,Well NAWQA LUSCR1-20 Montgomery Cnty AL,GW,32.47675,-86.2715,FALSE,2019-10-28T19:26:56Z,AL
USGS,311319086153601,Well COVINGTON COUNTY WELL 1 Covington Cnty,GW,31.22211494,-86.25995,FALSE,2019-10-28T19:26:56Z,AL
USGS,322933086151201,Well NAWQA LUSCR1-23 Montgomery Cnty AL,GW,32.49266667,-86.2534444,FALSE,2019-10-28T19:26:56Z,AL
USGS,322253086144401,Well NAWQA LUSRC1-13 Montgomery Cnty AL,GW,32.38166667,-86.2451944,FALSE,2019-10-28T19:26:56Z,AL
USGS,322855086134601,Well NAWQA LUSCR1-22 Montgomery Cnty AL,GW,32.48202778,-86.2294722,FALSE,2019-10-28T19:26:56Z,AL
USGS,322242086125701,Well NAWQA LUSRC1-15 Montgomery Cnty AL,GW,32.37863889,-86.21588889,FALSE,2019-10-28T19:26:56Z,AL
USGS,322831086124601,Well NAWQA LUSCR1-5 Elmore Cnty AL,GW,32.47530556,-86.2127222,FALSE,2019-10-28T19:26:56Z,AL
USGS,322437086114801,Well NAWQA LUSRC1-19 Montgomery Cnty AL,GW,32.4105,-86.1967222,FALSE,2019-10-28T19:26:56Z,AL
USGS,322041086112801,Well NAWQA LUSRC1-27 Montgomery Cnty AL,GW,32.34563889,-86.1904167,FALSE,2019-10-28T19:26:56Z,AL
USGS,322744086104801,Well NAWQA LUSCR1-13 Elmore Cnty AL,GW,32.46238889,-86.1800833,FALSE,2019-10-28T19:26:56Z,AL
USGS,322109086083301,Well NAWQA LUSRC1-26 Montgomery Cnty AL,GW,32.35275,-86.1425278,FALSE,2019-10-28T19:26:56Z,AL
