agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,colocated,queryTime,state
USGS,393649075323101,330952-- Elw-3 Killcohook,GW,39.61355556,-75.5423611,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393725075322501,330953-- Elw-2 Killcohook,GW,39.62356389,-75.5402694,FALSE,2019-10-28T19:27:04Z,NJ
USGS,392751075320704,330458-- Pseg 6-Obs,GW,39.46416667,-75.53588889,FALSE,2019-10-28T19:27:04Z,NJ
USGS,392802075320901,330918-- Pseg PW-6,GW,39.46575,-75.53288889,FALSE,2019-10-28T19:27:04Z,NJ
USGS,392758075315201,331186-- PS-1,GW,39.4661111,-75.5311111,FALSE,2019-10-28T19:27:04Z,NJ
USGS,392743075314801,330934-- PSE&G Obs Well J,GW,39.46216667,-75.5298056,FALSE,2019-10-28T19:27:04Z,NJ
USGS,392743075314701,330938-- PSE&G Obs G,GW,39.4620833,-75.5294444,FALSE,2019-10-28T19:27:04Z,NJ
USGS,394009075304301,330119-- Pennsville PW 2,GW,39.66916667,-75.5119444,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393749075314901,330686-- Pennsville 4A Rpl,GW,39.6691111,-75.5115833,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393929075302101,330955-- Efw-02 Penns Neck,GW,39.6582,-75.5058111,FALSE,2019-10-28T19:27:04Z,NJ
USGS,394018075301901,330972-- Tw7,GW,39.6718333,-75.5051944,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393954075301302,330671-- Pennsville PW 3A,GW,39.66514106,-75.5034484,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393746075295501,330111-- Hook Rd Obs,GW,39.62930556,-75.4983611,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393951075294801,330956-- Efw-01 Penns Neck,GW,39.6642583,-75.4967111,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393348075275703,330253-- Salem 3 Obs,GW,39.56375178,-75.4647256,FALSE,2019-10-28T19:27:04Z,NJ
USGS,394212075275101,330335-- Carney Pt 7,GW,39.70313889,-75.46202778,FALSE,2019-10-28T19:27:04Z,NJ
USGS,394236075272101,330342-- Penns Grove 24,GW,39.71058586,-75.45669539,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393342075271801,330249-- Salem PW 2,GW,39.56189074,-75.4546418,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393337075271501,330974-- Salem PW 6,GW,39.56041667,-75.45427778,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393453075270901,330381-- Ind 6,GW,39.58150196,-75.4521414,FALSE,2019-10-28T19:27:04Z,NJ
USGS,394206075265801,331141-- PW 11A,GW,39.70166667,-75.4494444,FALSE,2019-10-28T19:27:04Z,NJ
USGS,394204075265901,330361-- PW 4,GW,39.7010858,-75.44941739,FALSE,2019-10-28T19:27:04Z,NJ
USGS,394203075265401,330697-- Layton 2,GW,39.70125249,-75.44808399,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393538075264001,330050-- Hosp 1-1950,GW,39.59319444,-75.4438056,FALSE,2019-10-28T19:27:04Z,NJ
USGS,393017075262101,331107-- Dom,GW,39.50466389,-75.43905,FALSE,2019-10-28T19:27:04Z,NJ
USGS,394317075261901,330348-- Penns Grove 14 Obs,GW,39.72197479,-75.4388332,FALSE,2019-10-28T19:27:04Z,NJ
